variant,fraction,dataset,split,det_auc,phase_auc,p_rmse,s_rmse,found,run,fraction_order
mlstm_cr_geofon,0.05,ETHZ,test,,,,,False,/scicore/home/dokman0000/alvani0000/final_seismology/seismic_data_modeling/wandb_logs/mars/2025-10-13__00_17_04,0.05
mlstm_cr_geofon,0.05,GEOFON,test,0.9633764026453226,0.7424508575729956,1.0595567165966684,2.3308804395000764,True,/scicore/home/dokman0000/alvani0000/final_seismology/seismic_data_modeling/wandb_logs/mars/2025-10-13__00_17_04,0.05
mlstm_cr_geofon,0.10,ETHZ,test,,,,,False,/scicore/home/dokman0000/alvani0000/final_seismology/seismic_data_modeling/wandb_logs/mars/2025-10-13__00_27_24,0.1
mlstm_cr_geofon,0.10,GEOFON,test,0.9731889694357234,0.8167188974354094,0.9944583618923201,1.9878269372632607,True,/scicore/home/dokman0000/alvani0000/final_seismology/seismic_data_modeling/wandb_logs/mars/2025-10-13__00_27_24,0.1
mlstm_cr_geofon,0.20,ETHZ,test,,,,,False,/scicore/home/dokman0000/alvani0000/final_seismology/seismic_data_modeling/wandb_logs/mars/2025-10-13__00_39_36,0.2
mlstm_cr_geofon,0.20,GEOFON,test,0.9764598949130219,0.8549899865425867,0.929156226819629,1.9505368125882834,True,/scicore/home/dokman0000/alvani0000/final_seismology/seismic_data_modeling/wandb_logs/mars/2025-10-13__00_39_36,0.2
mlstm_cr_geofon,0.50,ETHZ,test,,,,,False,/scicore/home/dokman0000/alvani0000/final_seismology/seismic_data_modeling/wandb_logs/mars/2025-10-13__01_02_27,0.5
mlstm_cr_geofon,0.50,GEOFON,test,0.9766293654948934,0.9917710684147094,0.8552390329934669,1.507549787504475,True,/scicore/home/dokman0000/alvani0000/final_seismology/seismic_data_modeling/wandb_logs/mars/2025-10-13__01_02_27,0.5
mlstm_cr_geofon,1.00,ETHZ,test,,,,,False,/scicore/home/dokman0000/alvani0000/final_seismology/seismic_data_modeling/wandb_logs/mars/2025-10-13__01_28_44,1.0
mlstm_cr_geofon,1.00,GEOFON,test,0.9764840355445396,0.9984975403183454,0.8179933063596355,1.1269034381552963,True,/scicore/home/dokman0000/alvani0000/final_seismology/seismic_data_modeling/wandb_logs/mars/2025-10-13__01_28_44,1.0
